ID,question,answer,relavant_document
106,"Who is accused of bombing civilians and buildings in toxic messages posted on 2024-08-01 talking about Palestine on the ""ILTV Israel News 24/7 Chat"" group chat?",Israel,Stupid israhell just bomb civilians and buildings annd use its diapers:)))
107,"What percentage of people are labeled as idiots in toxic messages posted on 2024-06-26 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",5%,"Bullshit!!!

The true results are more like
90% TRUMP 
5%.   IDIOTS 
5%    DEAD"
108,"What nickname is suggested for Kamala in toxic messages posted on 2024-08-04 talking about Kamala Harris on the ""Midnight Rider Chat 🇺🇸"" group chat?",KamalaCon,“KamalaCon” I think it suits her.
109,"Who is claimed to have reinforced the border in toxic messages posted on 2024-08-02 talking about Palestine on the ""Middle East Brawls"" group chat?",Egypt,Bullshit. They could have left to Egypt. But Egypt reinforced the border for some reason
110,"Who is accused of not caring about Palestinians in toxic messages posted on 2024-08-10 talking about Palestine on the ""WarMonitors Chat: Season 2"" group chat?",Kamala Harris,"Kamala Harris doesn’t give a fuck about anyone, including Palestinians"
111,"What is the root cause and aggressor in toxic messages posted on 2024-07-11 talking about China on the ""Pilot Blog Chat"" group chat?",Russia,LOOKING FOR ROOT CAUSE CHINA??RUSSIA IS THE ROOT CAUSE & THE AGGRESSOR!!!GET IT MORON CHINA???
112,"What industry did Trump give to Taiwan in toxic messages posted on 2024-07-17 talking about China on the ""Pilot Blog Chat"" group chat?",Chip industry,"Stupid business men like Trump gave the chip industry to Taiwan and a lot of industry to China, replacing AMEN with ""globalization"""
113,"What is Iran's security described as in toxic messages posted on 2024-07-31 talking about Iran on the ""Middle East Brawls"" group chat?",Super shit,Iran security is looking super shit. This is a big escalation though…
114,"Where was an important Hamas leader killed in toxic messages posted on 2024-07-31 talking about Iran on the ""WarMonitors Chat: Season 2"" group chat?",Tehran,How the heck does a important hamas leader get killed inside Tehran damn it
115,"What has Iran asked its citizens to do in toxic messages posted on 2024-08-02 talking about Iran on the ""Middle East Brawls"" group chat?",Leave Iran,Iran has just asked all its citizens to leave Iran if they don’t want to get blown to fuck
116,"What is Iran telling its citizens in toxic messages posted on 2024-08-03 talking about Iran on the ""Middle East Brawls"" group chat?",Get out of Iran,Even Iran telling its own citizens to get the fuck out of Iran 🤣🤣🤣
117,"What is the Daily Mail accused of being in toxic messages posted on 2024-06-17 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",CIA asset,"The daily mail is in the tank and literally a CIA asset… Don’t believe their shite, but be aware of their shite…"
118,"Who is credited for the video in toxic messages posted on 2024-06-18 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Christopher Gardner,"The video was NOT AI generated.

The CREDITS for it go to:
CHRISTOPHER GARDNER VIA STORYFUL.

He ALSO writes for The Hollywood Reporter.

It's so easy to AUTHENTICATE the video & the person who SHARED it with NUMEROUS MEDIA OUTLETS.

THESE PEOPLE THINK THAT YOU'RE STUPID."
119,"What is accused of being a CIA instrument in toxic messages posted on 2024-06-20 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Google,Google was a C👀A instrument to monitor Americans. Stop using that crap
120,"What is claimed to be a hoax in toxic messages posted on 2024-06-22 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Climate change,"Keeping   in  mind   there   is   NO   climate   change.

It's   a    HOAX      SCAM      LIE. 
To   Control   you.
Impoverish    you.
Starve   you.
Steal    your    Freedom."
121,"What is Betraying the American people in toxic messages posted on 2024-06-24 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",CNN,Bunch of bullshit! CNN needs to be taken off the air for betraying the american people
122,"What is the nickname given to The New York Times in toxic messages posted on 2024-06-30 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",The New York Slimes,The New York Slimes bringing bullshit to your mornings every day.
123,"What is the fate of traitors if  they don't receive justice in a natural realm in toxic messages posted on 2024-07-01 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",fiery pit,"If they don’t receive justice in the natural realm, rest assured there’s a fiery [🔥] pit awaiting all of the traitors to our nation. The covenant was with our Founding Fathers not with corrupt open borders globalists (Marxists) selling us out to the highest bidders. We the People are due for an exodus from the government controlled slavery."
124,"What did the person stop doing over 15 years ago due to 'stupid PsyOp sh!t'  in toxic messages posted on 2024-07-12 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Stopped flying,Stopped flying over 15 yrs ago because of this stupid PsyOp sh!t
125,"How are fake news in toxic messages posted on 2024-07-13 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Disgraceful,The fucken fake news is disgraceful
126,"What is the alleged cause of the media's lies in toxic messages posted on 2024-07-14 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",DemonRat party control,"Everything you see on the tell-lie-vision, is lies 🤥 just bullshit 🐂💩. Controlled programming, bought and paid for media. Everything you see on these 📺 is feeding the public their daily dose of programming, which are lies to support the DemonRats agenda. The MSM is under the control of the liberal DemonRat party 😈🐀👹 and they spread lies about President Trump, to all those out there that still watch the 📺. Sadly 😢 the public still believe the BS spread by the media. We can only pray 🙏 that number is getting fewer by the day. 🙏❤️🇺🇸"
127,"What is the stance of Indian media in toxic messages posted on 2024-07-14 talking about Media Manipulation conspiracy on the ""Pilot Blog Chat"" group chat?",Pro Russia,The Indian media is very pro Russia. I just block them. Wankers.
128,"What is a horrible choice for a sniper gun in toxic messages posted on 2024-07-14 talking about Media Manipulation conspiracy on the ""We The Media - Chat"" group chat?",An AR,What a bunch of horse shit. This kid was literally an Oswald patsy. I doubt any of his rounds hit DJT. An AR is a horrible choice for a sniper gun at the alleged distance. Believe NOTHING you hear in the media about this. Why in the hell would this bunch tell us the truth now?
129,"What is the brick suit associated with in toxic messages posted on 2024-07-15 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",MASONIC SYMBOLISM,The brick suit screams MASONIC SYMBOLISM! WAKE THE FUCK UP PEOPLE.
130,"What is the opinion about 'RealRawNews' in toxic messages posted on 2024-07-17 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Made up bullshit,I can’t believe anyone views “RealRawNews” it’s all made up bullshit!
131,"Who is described as a puppet idiot in toxic messages posted on 2024-07-20 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Fauci,The injury doesn't matter. The attempted assassination does. Again Fauci is a puppet idiot. The kind the deep state loves.
132,"How long has the person not watched TV in toxic messages posted on 2024-07-21 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",6+ years,When will they all fall?!! This is sickening. I have not watched tv in 6y+yrs. Cancelled all subscriptions to cable etc.....how many of us did this? How can people still watch this crap? I don't want to believe that people listen to these assholes?!!! They need to be put to pasture.
133,"What is suggested America needs in toxic messages posted on 2024-07-22 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",TERM LIMITS,All Democrats can do...and it's been forever..is....lie .cheat...and steal...and enrich themselves with money laundering. .and We The Peoples money...they are not elected by the people they are selected by certain individuals that work behind the curtains...steal votes so the selected can win... America needs TERM LIMITS. these idiots can barely walk..wear diapers. and still in office...nothing but criminals.
134,"Who uses all deep state propaganda polls in toxic messages posted on 2024-07-23 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Fox,"Fox uses all deep state propaganda polls, the useful idiots slurp it up. 🤡🤡🤡"
135,"What is claimed to be created by MOSSAD and the CIA in toxic messages posted on 2024-07-24 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Hamas,How is it so when Hamas was created by the MOSSAD and the CIA?? 🤔 How did they actually go to war? Because Hamas flew into Israel territory with an iron dome? How did the iron dome shut down eh? Israel has the most advanced deterrence technology in the world. And we’re supposed to believe poor people who live in an open air prison controlled by AI created by Israel could do all of this? 😂 Give me an answer I’m waiting?
136,"What did someone lose for entering late in toxic messages posted on 2024-07-25 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",140 electoral votes,That bitch lost 140 electoral votes just for entering late. Fake news needs burned to the ground.
137,"What technology does Trump suggest using to secure elections and make them cheat-proof going forward in toxic messages posted on 2024-07-27 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Blockchain,IMO Trump is talking about fixing the elections using blockchain technology so it would be impossible to cheat in elections going forward. MSM is attempting to sell more lies!!!!
138,"What is Fox accused of being in toxic messages posted on 2024-07-28 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Complete garbage,Fox is complete garbage...turn them off!
139,"What is accused of being a German CIA financed propaganda outlet in toxic messages posted on 2024-07-29 talking about Media Manipulation conspiracy on the ""DDG Chat"" group chat?",Bild,"This little cocksucker is no journalist but just another Presstitute typing for Bild, a German CIA financed and extremely russophobic propaganda outlet.. so nobody is surprised.."
140,"Who is helping to steal election in toxic messages posted on 2024-08-06 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Fox,F…ing scumbag liars! F- Fox they are helping to steal election! Send all their asses to Gitmo
141,"Who is described as an ugly piece of shit in toxic messages posted on 2024-08-07 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Walz,"Walz is an ugly piece of shit. Now the mocking bird media is describing him as cuddly. Yeah, just what I want in a leader. 🥴👎🤢"
142,"Who is suggested to handle the next pandemic with UN troops in toxic messages posted on 2024-08-08 talking about Media Manipulation conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",Hotez,"And you’ve got that evil fucker Hotez going around saying the only way to handle the next plandemic, is to get UN Troops on the ground to control people…you know, the anti-science people. Buckle up, they’re gonna try this shit again!"
143,"What is Biden's chance of winning in toxic messages posted on 2024-06-14 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",1 in 100,"Those numbers aren't even remotely close. Biden has a 1 in 100 chance of winning and that only happens if the Democrats CHEAT REALLY BIG, which they will."
144,"Who tests for Covid anymore in toxic messages posted on 2024-07-18 talking about Vaccine and Viruses conspiracy on the ""Midnight Rider Chat 🇺🇸"" group chat?",No one,"Who tests for Covid anymore? No one. You believe this story, there’s no hope for you. Idiots"
145,"Who is mentioned as posting dead children pictures in toxic messages posted on 2024-06-30 talking about Children on the ""Middle East Brawls"" group chat?",Jeff,Fucking hell Jeff can't you stop posting dead children pic
146,"What is Kamala Harris accused of promoting under the Biden administration in toxic messages posted on 2024-06-16 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Anti-White racial discrimination,"Kamala Harris says that under the Biden administration, special taxpayer funded contracts are being given to non-White entrepreneurs and businesses. This is anti-White racial discrimination. 🇺🇸Join👉 @SGTnewsNetwork 📎 Twitter ▪️ Truth Social"
147,"What group is accused of being child predators in toxic messages posted on 2024-07-31 talking about Children on the ""Middle East Brawls"" group chat?",Catholics,Catholics are child predators
148,"What is used as shields in toxic messages posted on 2024-08-03 talking about Children on the ""Middle East Brawls"" group chat?",Women and children,You fucks always use women and children as shields
149,"Who is a neat freak in toxic messages posted on 2024-06-27 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Trump,EVERYONE KNOWS TRUMP IS A NEAT FREAK...NO FVCKING WAY MAN.... DEFINITELY STAGED!
150,"What did Trump demand before the debate in toxic messages posted on 2024-06-16 talking about Joe Biden on the ""Pilot Blog Chat"" group chat?",Biden undergo a drug test,"Trump the lying scumbag. Always repeating his lies ad nauseam by design. Machiavellian. ""Trump demands that Biden undergo a drug test before the debate."" Idiotic, but meant to distract."
151,"What every Christian denomination agrees on about the Quran in toxic messages posted on 2024-06-23 talking about Religion on the ""Middle East Brawls"" group chat?",Quran is satanic,The Quran is satanic and muhamad is a child of Satan. Every Christian denomination agrees on that
152,"What is invisible in toxic messages posted on 2024-06-24 talking about Religion on the ""Middle East Brawls"" group chat?",Allah,"Allah isn't a statue, idiot Allah is invisible"
153,"Which is the religion of gay porn in toxic messages posted on 2024-06-28 talking about Religion on the ""Middle East Brawls"" group chat?",Islam,Islam is the religion of gay porn
154,"Who is described as a weak god in toxic messages posted on 2024-06-29 talking about Religion on the ""Middle East Brawls"" group chat?",Allah,"What a fucking waste of life

Worshipping Allah

A weak god that cannot do shit for you"
155,"What is Israel not considered to be in toxic messages posted on 2024-06-30 talking about Religion on the ""Middle East Brawls"" group chat?",A religious state,"Dude you’re really fucking stupid

Israel is not a religious state

How many times do we have to say that??"
156,"How many types of Biden supporters are mentioned in toxic messages posted on 2024-06-18 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",3,"3 types of biden supporters. The corrupt, the pedophiles and the morons. Which one are you, Mark?"
157,"What is the Hebrew word mentioned in toxic messages posted on 2024-07-14 talking about Religion on the ""Middle East Brawls"" group chat?",Adonai,"Adonai is an hebrew word, you are dumb"
158,"What is Denmark described as in toxic messages posted on 2024-07-15 talking about Religion on the ""Middle East Brawls"" group chat?",Atheist country,Bitch I live here I know much better then you that Denmark is not a Christian country it's a atheist country. Most churches are empty and have to close within the next 5 yrs
159,"What is used to wipe one's own ass in toxic messages posted on 2024-07-16 talking about Religion on the ""Middle East Brawls"" group chat?",Quran,I use Quran to wipe my ass 🧻
160,"Who is described as a religious nut job in toxic messages posted on 2024-07-22 talking about Religion on the ""Pilot Blog Chat"" group chat?",Mike Johnson,"Mike Johnson is a freak. A real religious nut job - loves monitoring his son's porn intake, and asks his son to monitor his in return. Isn't that some weird fetish shit?"
161,"What is the only religion causing problems in toxic messages posted on 2024-07-23 talking about Religion on the ""Middle East Brawls"" group chat?",Islam,"It’s sad, but true. 🤷‍♀️ Islam is the only religion causing all this crap"
162,"What is all created by man in toxic messages posted on 2024-07-24 talking about Religion on the ""Midnight Rider Chat 🇺🇸"" group chat?",All religions,All religions are bullshit… created by man
163,"Who is described as a sleazebag in toxic messages posted on 2024-07-30 talking about Religion on the ""Midnight Rider Chat 🇺🇸"" group chat?",Anthony Weiner,Anthony Weiner is a SLEAZEBAG. Former Wife Muslim Brotherhood Operative Huma FRAZZLEDRIP Abadin Lesbian Companion of Hillary FRAZZLEDRIP Clinton has married Satanist Alexander Soros son of Evil Thief George Soros. Please PRAY.
164,"What does the Quran not mention even once in toxic messages posted on 2024-08-01 talking about Religion on the ""Middle East Brawls"" group chat?",Jerusalem,"Another delusional idiot. The Quran mentions the land of Israel dozens of times, but does not mention Jerusalem even once. Even Mohammed knew that Israel belonged to the children of Israel."
165,"What color eyes is the 'true and real' Biden said to have been born with in toxic messages posted on 2024-06-22 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",blue,"When are y’all going to realize this is not even the true and real Biden, who was born with BLUE eyes. This evil farcical nightmare is all Satan’s planned shit show people!"
166,"What criteria does the speaker's wife meet in toxic messages posted on 2024-08-03 talking about Religion on the ""Middle East Brawls"" group chat?",Honorable and chaste,"I don't want to marry a bitch either. I only marry honorable and chaste women. And Alhamdulillah, my wife meets that criteria."
167,"What painting is mentioned in relation to a display in toxic messages posted on 2024-08-05 talking about Religion on the ""Middle East Brawls"" group chat?",Feast of Gods,"Bitch you are a uncultured fuck.

That display was not about Christianity.

It represented the ""Feast of Gods"", a painting about Dionysus and Greek gods."
168,"What is the predicted direction of radioactive fallout if Belarus or Russia nukes Ukraine in toxic messages posted on 2024-07-01 talking about Nuclear on the ""Pilot Blog Chat"" group chat?",East,"NO ONE wants your fucking Belarus. And if Belarus or RuSSia will nuke Ukraine, well... we mostly have all the winds going to the east, so the radioactive fallout will land in... RuSSia... 😁"
169,"Which country is claimed to have nuclear capabilities since the 1990s in toxic messages posted on 2024-07-17 talking about Nuclear on the ""Pilot Blog Chat"" group chat?",Pakistan,"NO, he's not speaking the truth. Not anyone's truth. Firstly the UK is Not an ""Islamist"" country, and second, Pakistan, which open claims to be Islamist, with over 200million Muslims has had Nuclear capabilities since the 1990's So he's an Idiot, bootlicker and Liar"
170,"Who is criticized for saying the wrong state on stage in toxic messages posted on 2024-06-29 talking about Joe Biden on the ""Pilot Blog Chat"" group chat?",Trump,"You mean Trump! Trump 2 times in 2 months on stage said the wrong state, what an idiot. Biden never did."
171,"Who is accused of being a Putin stooge in toxic messages posted on 2024-07-01 talking about Joe Biden on the ""Pilot Blog Chat"" group chat?",Trump,"Ask president Zelensky to make up shit about Biden being corrupt and withholding aid to Ukraine as leverage. Yea remember that shit?? The world does. Trumps a Putin stooge lacking any balls, a coward that’s never served and looking for letters of endorsement from brutal authoritarians like they are an A+ report card to show his followers."
172,"What is Joe Biden accused of being in relation to the presidency in toxic messages posted on 2024-07-02 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Resident,Biden is the Resident not the President. Resident has NO Immunity. Biden should drone strike these horrible motherfuckers!
173,"What is Biden accused of needing during the interview in toxic messages posted on 2024-07-06 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",A nap,"This ""INTERVIEW"" will be an overly CUT, SPLICED and EDITED piece of shit (pre-taped MY ASS)...They will start at 10am... Take 1 ,cut, shoot, cut, FVCK UP cut, sho..cut... CUT! LUNCH BREAK... Start back at 1pm... Shoot, take 2, take 3... take 55....take 105....what? ...he fell asleep?...BIDEN NEEDS A NAP! Be back here at 3pm.... PEAT AND REPEAT... Director, ""We got nothing we can use..."" 4pm... It's time for JOEY TO GO TO BEDDY-BYE!"
174,"Who is accused of having dementia in toxic messages posted on 2024-07-06 talking about Joe Biden on the ""Pilot Blog Chat"" group chat?",Biden,Trump can eat a bag of dicks. If you cannot see that Biden has had dementia and is unfit to lead then please stop posting and voting.
175,"What does Joe Biden allegedly need to use in toxic messages posted on 2024-07-08 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Flash cards,"OMG , the Resident has flash cards to direct him where to go, stand, talk, leave …..who is the poor bastard that has to change is adult diaper and wipe his ass? Get this bumbling idiot away from the Nuclear football. God help America!"
176,"Who is predicted to win in 2024 in toxic messages posted on 2024-06-29 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Trump,Fuck you Cher. Just leave like you said sooo many times. Trump will win 2024. You are irrelevant now.
177,"What percentage of support is mentioned in toxic messages posted on 2024-07-09 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",40+%,It scares me to death knowing there are 40+% in this country that support the Briben Crime Family. Total imbeciles.
178,"What is someone accused of doing with children in toxic messages posted on 2024-07-12 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Sniffs little children,Meanwhile back at the ranch he goes sniffs little children while she's over there spilling her guts on how to keep his ass in office
179,"What event occured in 2012 in mentioned in toxic messages posted on 2024-07-15 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Election,That was 2012 election. After which you became a paid professor emeritus after you moved classified documents to the university and China began paying the university millions. Effectively the university was the middle man fencing the classified documents for cash. You fucking senile asshole.
180,"What percentage is Trump at in toxic messages posted on 2024-07-17 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",75%,It's Trump 75 % and damn cheating lying Buffoon Biden at 25%
181,"What percentage of the world market's microchips does Taiwan produce in toxic messages posted on 2024-07-17 talking about Joe Biden on the ""Pilot Blog Chat"" group chat?",70%,"Taiwan produce 70% of Microchips WORLDMARKET... what does He ""think"" will happen if Taiwan get crushed... like Idiot...how can someone be so stupid became President of USA... LIKE WTF!"
182,"Who is described as a 'convicted felon running for President' in toxic messages posted on 2024-07-18 talking about Joe Biden on the ""Pilot Blog Chat"" group chat?",Trump,They are talking about Bidens age but not that the orange fuck is a convicted felon running for President. America is fucked up and will go down!
183,"What was the fuel price under Trump in toxic messages posted on 2024-06-29 talking about Donald Trump on the ""Ukrainian Witness Chat"" group chat?",$2.79,"Yea, if you say so moron!! Are you a fucking communist or what? 😂 Interest rates have doubled since Biden took office. Also, everything to build a house is shipped on trucks and trains. Trucks and trains use fuel. Fuel prices have gone from $2.79 a gallons under Trump to $4.09 (What I just paid 10 minutes ago) under Biden. Inflation was north of 10% for 3 years of Biden’s presidency… Get a damn clue"
184,"What is Harris accused of being chosen for in toxic messages posted on 2024-07-22 talking about Joe Biden on the ""Pilot Blog Chat"" group chat?",Her 'color',Biden has destroyed America and promoted immorality! He was a puppet ! Harris was only chosen for her 'color' and is very stupid. Her past is tainted! And she will remain a puppet for Soros!
185,"Who is accused of being a career criminal and a serial pedophile in toxic messages posted on 2024-07-23 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Biden,Biden is a career criminal and a serial pedophile
186,"Who is accused of rigging the 2020 election in toxic messages posted on 2024-07-24 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Shapiro,"Shapiro’s a good democrat: he rigged the 2020 election for himself, Biden and Lamb, so he has experience already in the vote cheating game, he’s against fracking, along with his Soros pals and PSP, he planned DJT’s attack 7/13, and he was possibly the first Gov. signing up illegal voters at the DMVs;  Pennsylvanians hate him, but he cheats well to always win."
187,"What did Netanyahu say about Biden in toxic messages posted on 2024-07-25 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Biden is a proud zionist.,"Stockholm syndrome of stupidity 

With a mix of uneducated echo chamber clowns
Who mimick the Mossads MSM narrative 

These people are stupid.

Netanyahu said yesterday 
That Biden is a proud zionist,

Steve Bannon is also a proud zionist

Republicans are Zionists 

Democrats are zionists

Both left & right are as evil as eachother 

AtleastTrump was once a Democrat,
Now a Republican 

Just so he can bring down both demonic Zionist parties.

Society are too stupid to comprehend because Stockholm syndrome."
188,"What did someone stop watching after Arizona was called for Biden in toxic messages posted on 2024-07-28 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Fox News,"Stopped watching Fox News when they called Arizona for Biden.

Maricopa County Arizona is one of the most corrupt, if not the most corrupt countiy in the entire country.

Pray for our enemies that God may change their hearts.❤️🙌🙌🙌🙏🏻"
189,"Where was the current VP raised and educated in toxic messages posted on 2024-07-30 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Canada,"Not age stupid. resident biden is mentally incompetent, he’s sick, hell he had MAJOR brain surgery. But back to the present. The current vp is just horrid, she was raised and educated in communist/socialist canada. Educate yourself. The vp’s pilot light will in all likelihood burn OUT this week"
190,"Who is accused of calling the 2020 election for Biden too early in toxic messages posted on 2024-08-02 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Brett Baier,No FAT ASS BRETT BAIER that called the 2020 election for biden 2 min after the fucking polls closed...then it took weeks to count the damn illegal votes cast...FUCK BRETT BAIER AND FOX FOR EMPLOYING HIM.
191,"Who is accused of being run by the Obiden in toxic messages posted on 2024-08-06 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Muslim Brotherhood,"Well the Muslim Brotherhood is being run by Obiden along with the migrant flood so not the Jews in the US case, that is certain."
192,"What state is mentioned as hating Biden in toxic messages posted on 2024-08-07 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",Colorado,Colorado hates Biden. Fuck Jenna Griswold for enabling the cheat.
193,"What technique did Trump use to derail responses from Biden in toxic messages posted on 2024-06-30 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",Gish Gallop,"Trump used the 'Gish Gallop' technique to derail any quick easy responses from Biden - ""Flood the zone with shit"", he spews a firehose of BS without answering any questions as usual. Biden should just ignore the moron and speak his truthful answers while ignoring the rubbish, then eventually 💥 🤯😛"
194,"What is Joe accused of not doing at all in toxic messages posted on 2024-08-10 talking about Joe Biden on the ""Midnight Rider Chat 🇺🇸"" group chat?",working,"She full of shit. She's working around the clock for campaign, not the hostages & Biden isn't working at all!"
195,"Who is described as a scumbag like Obummer in toxic messages posted on 2024-07-11 talking about Barack Obama on the ""Midnight Rider Chat 🇺🇸"" group chat?",Clooney,Clooney is a SCUMBAG like Obummer
196,"Who is blamed for sending America on a certain course in toxic messages posted on 2024-07-13 talking about Barack Obama on the ""Midnight Rider Chat 🇺🇸"" group chat?",Obama,Obama……you’re the MFer that sent America on this course so go fuck yourself!
197,"Who is accused of being a dick rider in toxic messages posted on 2024-07-21 talking about Barack Obama on the ""Midnight Rider Chat 🇺🇸"" group chat?",Barack Obama,Michelle/big Mike is a biological male. Barack Obama is a dick rider
198,"Who is described as an embarrassment and a dumpster fire in toxic messages posted on 2024-07-22 talking about Barack Obama on the ""Midnight Rider Chat 🇺🇸"" group chat?",Barry,Fuck you Barry! He is and always had been an embarrassment & a dumpster fire 🔥.
199,"Who is described as diabolical in a Satanistic sense in toxic messages posted on 2024-07-23 talking about Barack Obama on the ""Midnight Rider Chat 🇺🇸"" group chat?",Obama,"Obama is not smart in a good sense, he is diabolical in Satanistic sense."
200,"What does Trump not hold in toxic messages posted on 2024-07-01 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",liquor licenses,Donald Trump doesn’t hold any liquor licenses. These people are idiots.
201,"Who is referred to as the new Satan in toxic messages posted on 2024-06-14 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Putin,"Putin is the new Satan, if God is seven this monkey is six and if the monkey is six he for sure will go to HELL."
202,"What is Putin accused of not really wanting in toxic messages posted on 2024-06-15 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Peace,"Putin is such a propagandistic ass wipe! He throws around the word “peace” like he actually wants it, yet we all know that he wants peace like a car salesman wants an empty lot! That lying sack of shit!"
203,"What is Putin's regime described as in toxic messages posted on 2024-06-17 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Dictatorship,Mother fuckets... suck dildo of dictatorship regime of Putin
204,"What is Putin compared to in terms of usefulness in toxic messages posted on 2024-06-22 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",A human shell filled with feces,"Putin is indeed not a dick, he's a human shell filled with feces. Him being a dick would mean that he's at least some kind of fun and useful, but he's not."
205,"What is Moscow threatened to be turned into in toxic messages posted on 2024-06-24 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Sheet of glass,Moscow will be turned into a sheet of  glass. Hey Vlad. Like the Israelis to the the Palestinians “ fuck around and find out”.
206,"Who is described as a 'wacked out loser' in toxic messages posted on 2024-07-01 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",Kanye,"Trump can't help who loves him, and everyone knows Kanye is a fuckin wacked out loser"
207,"Who is blamed for putting Putin in power in toxic messages posted on 2024-06-25 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Yeltsin,yeltsin was a long time ago and he's the one who put putin in power so fuck yeltsin
208,"Who is seen begging to Kim Jong in toxic messages posted on 2024-06-29 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Putler,am enjoying seeing the Ruskies being blown the fuck up by Cossaks and so far i fakin like it boy whats most enjoying is seeing Putler begging to that fatty short fucking KIM JONG
209,"What is Biden's only negative in toxic messages posted on 2024-07-03 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",He is old,Why is Biden an asshole? Hr only negative is he is old. Atleast he has good people around him. Trunp is a criminal and his people arent better then him. Do you realise trump insults the US more then putin or Xi? Nearly weekly but somehow some americans ignore it.
210,"What is Modi accused of being in toxic messages posted on 2024-07-05 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Racist,"Modi is racist very racist toward half his country’s people. I don’t respect him. Just another man out for himself and addicted to power like Putin. I hope he enjoys his propaganda tea with Putler or as the day in Ukraine, dickface."
